model,pse_true,jnd_true,subject_id,group,trial_block,stimulus_center,stimulus_spread,lat_entropy,pse_est,jnd_est,asymmetry_index
ABS1,479.0,22.0,S01_G1_479_22_ABS1,G1,40,470.32,30.68,2.36,472.13,16.17,-0.75
ABS1,479.0,22.0,S01_G1_479_22_ABS1,G1,60,470.57,26.54,2.28,470.15,16.13,-0.833
ABS1,479.0,22.0,S01_G1_479_22_ABS1,G1,80,470.8,25.57,2.26,471.6,17.31,-0.825
ABS1,479.0,22.0,S01_G1_479_22_ABS1,G1,100,471.08,24.46,2.21,472.69,17.43,-0.86
ABS1,479.0,22.0,S01_G1_479_22_ABS1,G1,120,471.28,23.82,2.16,471.24,16.86,-0.867
ABS1,479.0,22.0,S01_G1_479_22_ABS1,G1,140,470.29,23.21,2.17,470.59,19.97,-0.871
ABS1,479.0,22.0,S01_G1_479_22_ABS1,G1,160,469.94,23.27,2.16,470.67,21.11,-0.874
ABS1,479.0,22.0,S01_G1_479_22_ABS1,G1,180,469.84,23.29,2.16,470.44,20.41,-0.854
ABS1,479.0,22.0,S01_G1_479_22_ABS1,G1,200,469.6,23.61,2.18,469.62,20.53,-0.828
ABS1,481.0,20.0,S02_G1_481_20_ABS1,G1,40,477.45,36.8,2.7,482.17,26.04,-0.474
ABS1,481.0,20.0,S02_G1_481_20_ABS1,G1,60,479.83,34.02,2.68,485.0,25.37,-0.345
ABS1,481.0,20.0,S02_G1_481_20_ABS1,G1,80,480.7,33.28,2.69,482.92,28.36,-0.282
ABS1,481.0,20.0,S02_G1_481_20_ABS1,G1,100,481.09,34.16,2.66,482.92,32.28,-0.224
ABS1,481.0,20.0,S02_G1_481_20_ABS1,G1,120,480.86,33.98,2.63,481.02,31.05,-0.203
ABS1,481.0,20.0,S02_G1_481_20_ABS1,G1,140,481.34,33.11,2.57,479.68,28.47,-0.226
ABS1,481.0,20.0,S02_G1_481_20_ABS1,G1,160,480.62,32.45,2.53,477.4,28.72,-0.261
ABS1,481.0,20.0,S02_G1_481_20_ABS1,G1,180,479.9,32.08,2.5,476.2,29.36,-0.288
ABS1,481.0,20.0,S02_G1_481_20_ABS1,G1,200,479.36,31.74,2.47,476.07,28.53,-0.303
ABS1,478.0,18.0,S03_G1_478_18_ABS1,G1,40,489.08,45.34,2.6,484.05,40.32,-0.25
ABS1,478.0,18.0,S03_G1_478_18_ABS1,G1,60,485.03,46.68,2.62,481.63,36.33,-0.2
ABS1,478.0,18.0,S03_G1_478_18_ABS1,G1,80,485.06,43.96,2.45,483.15,29.57,-0.125
ABS1,478.0,18.0,S03_G1_478_18_ABS1,G1,100,484.39,40.78,2.45,481.58,28.16,-0.18
ABS1,478.0,18.0,S03_G1_478_18_ABS1,G1,120,484.32,38.68,2.4,481.04,26.65,-0.176
ABS1,478.0,18.0,S03_G1_478_18_ABS1,G1,140,484.27,36.86,2.36,478.12,26.04,-0.209
ABS1,478.0,18.0,S03_G1_478_18_ABS1,G1,160,483.68,35.4,2.32,477.7,24.72,-0.245
ABS1,478.0,18.0,S03_G1_478_18_ABS1,G1,180,483.56,34.19,2.3,476.78,22.97,-0.251
ABS1,478.0,18.0,S03_G1_478_18_ABS1,G1,200,482.39,33.3,2.28,474.84,23.84,-0.307
ABS1,478.0,22.0,S04_G1_478_22_ABS1,G1,40,475.4,31.56,2.57,475.77,25.69,-0.641
ABS1,478.0,22.0,S04_G1_478_22_ABS1,G1,60,478.03,30.88,2.62,477.11,20.25,-0.552
ABS1,478.0,22.0,S04_G1_478_22_ABS1,G1,80,478.2,28.42,2.56,477.65,20.21,-0.584
ABS1,478.0,22.0,S04_G1_478_22_ABS1,G1,100,476.47,28.05,2.55,474.64,22.35,-0.588
ABS1,478.0,22.0,S04_G1_478_22_ABS1,G1,120,476.47,27.85,2.52,474.08,23.61,-0.556
ABS1,478.0,22.0,S04_G1_478_22_ABS1,G1,140,476.86,26.82,2.48,473.07,20.72,-0.577
