subj,modality,algorithm,auc_pse,auc_jnd
A01,Auditory,Adaptive,986.877750615663,777.8076050483521
A01,Auditory,Fixed,1062.9866864011797,1509.3480950384258
A02,Auditory,Adaptive,859.4066947341832,244.17032688614398
A02,Auditory,Fixed,1961.7317172670175,441.472749935688
A03,Auditory,Adaptive,682.6644200900614,378.9103884170079
A03,Auditory,Fixed,2132.6638269728983,741.0718686006481
A04,Auditory,Adaptive,369.31597497593884,509.9073298255461
A04,Auditory,Fixed,946.2517868077418,749.562273670722
A05,Auditory,Adaptive,601.5977313864175,370.8934065160042
A05,Auditory,Fixed,804.9823144189793,1171.2225563134616
A06,Auditory,Adaptive,613.3892825648013,662.7083503909801
A06,Auditory,Fixed,4190.798527161785,1545.3277816370662
A07,Auditory,Adaptive,425.7978249724806,199.10639421965408
A07,Auditory,Fixed,2388.9401303474833,625.981151680726
A08,Auditory,Adaptive,1485.1675981836206,454.211127035168
A08,Auditory,Fixed,560.1398507999636,1316.1436543810046
A09,Auditory,Adaptive,2570.9001546179,531.180649576552
A09,Auditory,Fixed,1605.568992325841,587.9784625741642
A10,Auditory,Adaptive,545.6363161486388,663.0440712035262
A10,Auditory,Fixed,808.6501476281796,414.17618732235997
V01,Visual,Adaptive,480.21792617958,285.1016791488679
V01,Visual,Fixed,2298.4730509543942,1443.5689521294407
V02,Visual,Adaptive,2803.718690720799,896.2227608283926
V02,Visual,Fixed,1897.636401656921,418.1812131753381
V03,Visual,Adaptive,1059.757259058482,257.8882370730081
V03,Visual,Fixed,1183.0689034823808,349.711863281418
V04,Visual,Adaptive,462.1676442434398,217.80021290614195
V04,Visual,Fixed,1141.7810938910793,524.8874416383101
V05,Visual,Adaptive,1224.6625775884013,480.31645878837185
V05,Visual,Fixed,927.7402430380016,2112.8150711147864
V06,Visual,Adaptive,791.5966670096611,360.17056740112565
V06,Visual,Fixed,2953.5520815011196,1693.5869396982398
V07,Visual,Adaptive,575.6235420001371,167.83572175235383
V07,Visual,Fixed,996.6160693856807,1891.4120311326972
V08,Visual,Adaptive,2802.5309431517,946.2418425635371
V08,Visual,Fixed,2225.5357696169804,1137.038823061566
V09,Visual,Adaptive,1872.5408722231964,660.6675860383398
V09,Visual,Fixed,5149.947303113915,2140.558265581512
V10,Visual,Adaptive,581.38891199064,366.3258689758982
V10,Visual,Fixed,3495.117667820342,2015.0982745791873
