subj,age,gender,modality,algorithm,n_trials,pse,jnd,sc,ss,lat_range,lat_entropy,jnd_log,age_z,modality_algorithm,n_trials_f
A01,26,Female,Auditory,Adaptive,40,548.386439458814,40.3559591441952,526.6,91.8699624469282,344,2.70515223331093,3.7222165258188227,-0.46318660674648493,Auditory_Adaptive,40
A01,26,Female,Auditory,Fixed,40,522.588846264353,2.96288106067951,500,143.614066163451,450,3.32192809488736,1.3769713013126745,-0.46318660674648493,Auditory_Fixed,40
A01,26,Female,Auditory,Adaptive,60,528.5321058463,48.1252306667996,527.45,79.7365296878831,344,2.69911932793853,3.8943727656857723,-0.46318660674648493,Auditory_Adaptive,60
A01,26,Female,Auditory,Fixed,60,516.683325359492,33.3992874506758,500,143.614066163451,450,3.32192809488736,3.538035850521677,-0.46318660674648493,Auditory_Fixed,60
A01,26,Female,Auditory,Adaptive,80,531.252181673356,45.6888773090531,526.975,74.07833269587,344,2.52361322925368,3.843505963053417,-0.46318660674648493,Auditory_Adaptive,80
A01,26,Female,Auditory,Fixed,80,506.265096813922,32.8094084515857,500,143.614066163451,450,3.32192809488736,3.5207391203107647,-0.46318660674648493,Auditory_Fixed,80
A01,26,Female,Auditory,Adaptive,100,531.744534741801,46.4806348286705,526.2,69.2870839334432,344,2.52409861056871,3.86032194009586,-0.46318660674648493,Auditory_Adaptive,100
A01,26,Female,Auditory,Fixed,100,505.010705423929,33.4508793104226,500,143.614066163451,450,3.32192809488736,3.5395345213842226,-0.46318660674648493,Auditory_Fixed,100
A01,26,Female,Auditory,Adaptive,120,534.062950736041,42.0234882558,525.625,65.9175068425174,344,2.44265329954301,3.7617462050665917,-0.46318660674648493,Auditory_Adaptive,120
A01,26,Female,Auditory,Fixed,120,500,44.4036044427194,500,143.614066163451,450,3.32192809488736,3.8155914949072844,-0.46318660674648493,Auditory_Fixed,120
A01,26,Female,Auditory,Adaptive,140,534.113268341703,42.3100523619634,526.871428571429,63.7455704743635,344,2.33209241216533,3.768384764229808,-0.46318660674648493,Auditory_Adaptive,140
A01,26,Female,Auditory,Fixed,140,503.575061929266,44.3226163358225,500,143.614066163451,450,3.32192809488736,3.813806164763171,-0.46318660674648493,Auditory_Fixed,140
A01,26,Female,Auditory,Adaptive,160,530.498040767194,45.814697016311,525.49375,63.3700438767207,344,2.32571606922595,3.846197192433799,-0.46318660674648493,Auditory_Adaptive,160
A01,26,Female,Auditory,Fixed,160,506.254992721013,42.1115182897342,500,143.614066163451,450,3.32192809488736,3.7637902071074203,-0.46318660674648493,Auditory_Fixed,160
A01,26,Female,Auditory,Adaptive,180,526.645274542452,49.1457396273536,523.311111111111,63.6439129400525,344,2.40320705688823,3.914933558204126,-0.46318660674648493,Auditory_Adaptive,180
A01,26,Female,Auditory,Fixed,180,497.219382550232,44.3546283751334,500,143.614066163451,450,3.32192809488736,3.81451223034209,-0.46318660674648493,Auditory_Fixed,180
A01,26,Female,Auditory,Adaptive,200,527.100059915329,49.8543824328205,521.09,64.578416673065007,344,2.47728147351386,3.9289663023172743,-0.46318660674648493,Auditory_Adaptive,200
A01,26,Female,Auditory,Fixed,200,502.502327910421,43.5602650806719,500,143.614066163451,450,3.32192809488736,3.7968425444494467,-0.46318660674648493,Auditory_Fixed,200
A02,29,Male,Auditory,Adaptive,40,505.172717645278,23.4192158241754,502.9,67.2554087044306,342,2.86643035777007,3.195370356134827,-0.07719776779108098,Auditory_Adaptive,40
