modality,algorithm,n_trials,n,shapiro_w,shapiro_p,is_normal
Auditory,Adaptive,40,10,0.8966932471142034,0.20144572767796987,TRUE
Auditory,Adaptive,60,10,0.8734758068029563,0.10971677713623039,TRUE
Auditory,Adaptive,80,10,0.9060986153734043,0.25525285097577544,TRUE
Auditory,Adaptive,100,10,0.9446911680464259,0.6062889141323767,TRUE
Auditory,Adaptive,120,10,0.9602621934006004,0.7888581895895368,TRUE
Auditory,Adaptive,140,10,0.909044876447159,0.27449457931605437,TRUE
Auditory,Adaptive,160,10,0.8949462803312298,0.19264401814442617,TRUE
Auditory,Adaptive,180,10,0.8557283406774866,0.06793511954081934,TRUE
Auditory,Adaptive,200,10,0.8776881695232178,0.12274102358662327,TRUE
Auditory,Fixed,40,10,0.8593908732551123,0.07505660388404506,TRUE
Auditory,Fixed,60,10,0.9699724945256276,0.8905901259109883,TRUE
Auditory,Fixed,80,10,0.8894825212844861,0.16731472916553833,TRUE
Auditory,Fixed,100,10,0.8572280453257064,0.07076858212712882,TRUE
Auditory,Fixed,120,10,0.9114503625630422,0.2911028292155494,TRUE
Auditory,Fixed,140,10,0.862983255581073,0.08273713988482449,TRUE
Auditory,Fixed,160,10,0.9051451200040815,0.24927884723541563,TRUE
Auditory,Fixed,180,10,0.9018861528284983,0.2297665444081523,TRUE
Auditory,Fixed,200,10,0.9605607803501879,0.7922479180083261,TRUE
Visual,Adaptive,40,10,0.9192750646409578,0.3509483255619442,TRUE
Visual,Adaptive,60,10,0.8987187552933755,0.21210041406444965,TRUE
Visual,Adaptive,80,10,0.8847175808532067,0.1477538496304527,TRUE
Visual,Adaptive,100,10,0.9299238336806234,0.4471434063834565,TRUE
Visual,Adaptive,120,10,0.8893422525788666,0.16670643020702228,TRUE
Visual,Adaptive,140,10,0.894209076869656,0.18903482930732995,TRUE
Visual,Adaptive,160,10,0.8960040675318629,0.19793120016208657,TRUE
Visual,Adaptive,180,10,0.9217323601294716,0.37163040597536545,TRUE
Visual,Adaptive,200,10,0.9160296355620324,0.3250263242753365,TRUE
Visual,Fixed,40,10,0.8718070048642836,0.10492756240341473,TRUE
Visual,Fixed,60,10,0.8653100292853338,0.08810847924824455,TRUE
Visual,Fixed,80,10,0.8209934029781503,0.026052661301887735,FALSE
Visual,Fixed,100,10,0.9096919975560773,0.2788820679422973,TRUE
Visual,Fixed,120,10,0.8087248333384183,0.01850401982640937,FALSE
Visual,Fixed,140,10,0.7856276612859358,0.009693663356438472,FALSE
Visual,Fixed,160,10,0.7823327288742169,0.008838306315473141,FALSE
Visual,Fixed,180,10,0.8436705249985965,0.04882077353931996,FALSE
Visual,Fixed,200,10,0.7926054255374253,0.011787171338661183,FALSE
