modality,algorithm,n_trials,n,mean,sd,median,q25,q75,min,max
Auditory,Adaptive,40,10,503.6459665573207,24.318490167917382,500.49811475881404,488.64599505279926,514.7108396626408,464.731192196992,548.386439458814
Auditory,Adaptive,60,10,502.3587556162311,15.354852281966423,500.022049029998,491.7499988126882,507.1288396310697,483.236899421441,528.5321058463
Auditory,Adaptive,80,10,501.2753322853268,16.727976063202522,498.1756048555385,492.1059832215525,510.4176264428845,479.132587470151,531.252181673356
Auditory,Adaptive,100,10,499.605305084028,16.644229553731883,493.85301531813104,486.0758481878655,509.391614441715,485.616695106681,531.744534741801
Auditory,Adaptive,120,10,497.657277508115,16.484127278035587,491.06906930794753,486.63499445511025,502.3116916362045,484.573979582194,534.062950736041
Auditory,Adaptive,140,10,497.6144687506361,16.533982932834633,492.0197631180175,486.63584609952176,500.9947681491763,482.858853657529,534.113268341703
Auditory,Adaptive,160,10,497.07473560678807,16.153355979611423,493.862491204098,485.65937322196726,499.39179870496827,480.736980720641,530.498040767194
Auditory,Adaptive,180,10,496.5418619605087,15.976860496868115,493.530929910705,486.3181096785962,499.3670886992053,477.900586234456,526.645274542452
Auditory,Adaptive,200,10,496.5460754423767,16.127001723322966,494.06568756793797,487.57755202865474,497.845673460905,476.343148860177,527.100059915329
Auditory,Fixed,40,10,480.97327153569233,35.673837437709764,474.9654684470855,449.9501079973203,509.41793063860774,437.345003665156,537.443799367737
Auditory,Fixed,60,10,474.99371354983793,34.45424162938729,466.7541878375765,449.988407238281,497.91047508032676,424.923053275988,533.215259151596
Auditory,Fixed,80,10,474.409448674959,31.2229890313049,465.8164258176485,456.260560740505,501.5595123975715,424.969416860532,525.00073384795
Auditory,Fixed,100,10,476.9997521961852,27.105746814121893,472.4970306579545,461.2622813865165,497.4971054817275,429.975319688061,520.014845878303
Auditory,Fixed,120,10,476.6746687314424,25.24102288258967,477.06018471198604,459.4290133613927,497.914662053568,429.140182249571,508.339796095526
Auditory,Fixed,140,10,479.2852300968895,22.13465232602177,482.121532566323,466.0952692549875,496.42642714038226,435.675806144085,507.152280160805
Auditory,Fixed,160,10,477.816095193267,22.22063595814017,478.111974837991,466.4398236945935,492.179218317989,434.326474236588,506.265096813922
Auditory,Fixed,180,10,477.78314368926243,21.159564604431687,476.37916683978654,466.02532095567506,493.74207208063103,436.03571469648,508.347257330584
Auditory,Fixed,200,10,478.50606395503144,21.05368069091831,477.4895737799365,468.1485629526525,491.236803793454,437.462945019606,510.012638235461
Visual,Adaptive,40,10,495.8055877187852,23.88357938783317,495.83486120810596,475.7081900593413,509.93595760073276,461.074352337764,534.507174141565
Visual,Adaptive,60,10,494.2195617231605,18.89388255708363,489.215249300536,478.23017049942626,507.4306808595435,474.179969941786,531.765577811991
Visual,Adaptive,80,10,494.5946508391963,18.180249450431205,486.514130636625,482.5918860752112,501.3821400016608,472.763426889591,525.155256505056
Visual,Adaptive,100,10,493.819624269128,13.984239699290438,491.38765582636404,484.42724549916295,498.714271077494,472.651968246763,517.608924477179
Visual,Adaptive,120,10,490.7695129970134,13.481616284664462,491.5701915252905,484.6336924854975,495.58473785319575,465.779775427449,512.525208108333
Visual,Adaptive,140,10,490.289055866286,12.470539293063096,490.98686300667146,485.50604158951023,492.9332257194535,466.856368151987,510.575154323184
Visual,Adaptive,160,10,488.8040677284102,10.450271151866385,489.0762306605085,485.7462790056733,491.43121773265375,466.647599470924,504.925304454889
Visual,Adaptive,180,10,489.25761064119763,10.377039717972437,489.2348986338985,485.772219961299,493.7962613258443,466.747809578032,503.840855395351
Visual,Adaptive,200,10,487.827585390775,8.392424967180451,487.569667416866,485.1760463241435,493.7530682223415,468.941142494221,498.677452448299
Visual,Fixed,40,10,501.1129105574257,26.349926990262173,500,479.92856256619325,520.0714374307822,462.556200632263,537.668101013545
Visual,Fixed,60,10,502.5491187003551,25.951979247946124,500,481.24143288810353,516.7829124322545,466.784740848404,550.001301692519
Visual,Fixed,80,10,499.1544602542233,19.69589511856183,493.74450383271346,482.8002798184607,510.99477373232475,477.995290488322,537.566655197718
Visual,Fixed,100,10,497.7002674212744,17.850657142015738,493.276074862661,484.9767494084787,510.342579981704,474.887061103426,530.044533438102
Visual,Fixed,120,10,494.1724624184778,15.256659867560945,493.740463537942,481.314288470147,500,474.968738556077,525.031261443923
Visual,Fixed,140,10,492.183550746381,13.351253688645334,493.103824809499,481.23350299375426,499.10547056708776,471.346832019518,510.754960627555
Visual,Fixed,160,10,489.68725674612404,13.02800701775488,489.3273654723745,484.34443868979054,500.6867139221615,462.38920581484,506.281047946401
Visual,Fixed,180,10,486.0058340007858,13.346394578373046,485.7872833118045,478.38699455915645,495.82590136845454,460.837380627161,505.578531078437
Visual,Fixed,200,10,483.576889282025,11.561783138272748,484.463572239685,480.3903929742703,491.2126725564066,457.256235742226,497.495751395545
