subj,modality,algorithm,pse_stability_point,jnd_stability_point
A01,Auditory,Adaptive,40,60
A01,Auditory,Fixed,40,120
A02,Auditory,Adaptive,40,40
A02,Auditory,Fixed,40,80
A03,Auditory,Adaptive,40,40
A03,Auditory,Fixed,40,40
A04,Auditory,Adaptive,40,40
A04,Auditory,Fixed,40,100
A05,Auditory,Adaptive,40,40
A05,Auditory,Fixed,40,180
A06,Auditory,Adaptive,40,80
A06,Auditory,Fixed,60,140
A07,Auditory,Adaptive,40,40
A07,Auditory,Fixed,40,40
A08,Auditory,Adaptive,40,40
A08,Auditory,Fixed,40,100
A09,Auditory,Adaptive,40,40
A09,Auditory,Fixed,40,100
A10,Auditory,Adaptive,40,60
A10,Auditory,Fixed,40,80
V01,Visual,Adaptive,40,80
V01,Visual,Fixed,40,160
V02,Visual,Adaptive,40,100
V02,Visual,Fixed,40,80
V03,Visual,Adaptive,40,40
V03,Visual,Fixed,40,40
V04,Visual,Adaptive,40,80
V04,Visual,Fixed,40,80
V05,Visual,Adaptive,40,60
V05,Visual,Fixed,40,140
V06,Visual,Adaptive,40,40
V06,Visual,Fixed,40,140
V07,Visual,Adaptive,40,60
V07,Visual,Fixed,40,80
V08,Visual,Adaptive,40,60
V08,Visual,Fixed,40,40
V09,Visual,Adaptive,40,60
V09,Visual,Fixed,40,140
V10,Visual,Adaptive,40,60
V10,Visual,Fixed,40,80
