"model","trial_block","n","mean","sd"
"ABS1",40,180,2.64994444444444,0.322043921537313
"ABS1",60,180,2.7005,0.277698592686186
"ABS1",80,180,2.69377777777778,0.28200034778606
"ABS1",100,180,2.67094444444444,0.276123802737535
"ABS1",120,180,2.64188888888889,0.272881968240735
"ABS1",140,180,2.61488888888889,0.271985229817691
"ABS1",160,180,2.59061111111111,0.268307677735318
"ABS1",180,180,2.57194444444444,0.266982093476547
"ABS1",200,180,2.55366666666667,0.266803758987867
"REL1",40,180,2.40505555555556,0.272942782024853
"REL1",60,180,2.37833333333333,0.292690276171524
"REL1",80,180,2.42933333333333,0.326167177890359
"REL1",100,180,2.504,0.350167717197913
"REL1",120,180,2.55461111111111,0.376200297133062
"REL1",140,180,2.58211111111111,0.386122377464253
"REL1",160,180,2.60477777777778,0.389548450175508
"REL1",180,180,2.62127777777778,0.39038160753731
"REL1",200,180,2.62955555555556,0.389483001001998
"REL2",40,180,2.68611111111111,0.210653118155661
"REL2",60,180,2.50366666666667,0.204766933870447
"REL2",80,180,2.39277777777778,0.214471041020402
"REL2",100,180,2.32416666666667,0.222542130842679
"REL2",120,180,2.28822222222222,0.236123619634343
"REL2",140,180,2.28916666666667,0.251460260418684
"REL2",160,180,2.30683333333333,0.277169401440657
"REL2",180,180,2.32377777777778,0.299780470060461
"REL2",200,180,2.33883333333333,0.314170496002822
