id	label	lat	confl	res	cor_ans	user_ans	elapsed	rep	confl_magn
0	AUDIO	341	none	True	0	0	1990	1	0.0
1	AUDIO	373	none	True	0	0	1393	1	0.0
2	AUDIO	668	none	True	1	1	1705	1	0.0
3	AUDIO	637	none	True	1	1	1507	1	0.0
4	AUDIO	611	none	True	1	1	1066	1	0.0
5	AUDIO	396	none	True	0	0	1997	1	0.0
6	AUDIO	427	none	True	0	0	1169	1	0.0
7	AUDIO	590	none	True	1	1	1092	1	0.0
8	AUDIO	573	none	True	1	1	3192	1	0.0
9	AUDIO	424	none	True	0	0	1011	1	0.0
10	AUDIO	558	none	True	1	1	2607	1	0.0
11	AUDIO	528	none	False	1	0	1039	1	0.0
12	AUDIO	438	none	True	0	0	1173	1	0.0
13	AUDIO	452	none	True	0	0	1845	1	0.0
14	AUDIO	539	none	True	1	1	1445	1	0.0
15	AUDIO	531	none	False	1	0	5664	1	0.0
16	AUDIO	468	none	True	0	0	2877	1	0.0
17	AUDIO	551	none	True	1	1	1000	1	0.0
18	AUDIO	473	none	True	0	0	1119	1	0.0
19	AUDIO	471	none	True	0	0	1440	1	0.0
20	AUDIO	487	none	False	0	1	1139	1	0.0
21	AUDIO	543	none	False	1	0	907	1	0.0
22	AUDIO	495	none	True	0	0	966	1	0.0
23	AUDIO	563	none	True	1	1	2322	1	0.0
24	AUDIO	491	none	False	0	1	1144	1	0.0
25	AUDIO	477	none	True	0	0	1150	1	0.0
26	AUDIO	554	none	True	1	1	1069	1	0.0
27	AUDIO	551	none	True	1	1	2564	1	0.0
28	AUDIO	483	none	True	0	0	2969	1	0.0
29	AUDIO	548	none	True	1	1	1009	1	0.0
30	AUDIO	526	none	False	1	0	958	1	0.0
31	AUDIO	498	none	True	0	0	3071	1	0.0
32	AUDIO	552	none	True	1	1	2315	1	0.0
33	AUDIO	551	none	True	1	1	1328	1	0.0
34	AUDIO	487	none	False	0	1	2191	1	0.0
35	AUDIO	549	none	True	1	1	1696	1	0.0
36	AUDIO	500	none	False	1	0	2877	1	0.0
37	AUDIO	528	none	False	1	0	1254	1	0.0
