id	label	lat	confl	res	cor_ans	user_ans	elapsed	rep	confl_magn
0	AUDIO	668	none	True	1	1	3524	1	0.0
1	AUDIO	340	none	True	0	0	70433	1	0.0
2	AUDIO	369	none	True	0	0	3024	1	0.0
3	AUDIO	384	none	True	0	0	2294	1	0.0
4	AUDIO	637	none	True	1	1	1517	1	0.0
5	AUDIO	611	none	True	1	1	4861	1	0.0
6	AUDIO	415	none	True	0	0	2726	1	0.0
7	AUDIO	590	none	True	1	1	1292	1	0.0
8	AUDIO	439	none	True	0	0	6203	1	0.0
9	AUDIO	573	none	True	1	1	2845	1	0.0
10	AUDIO	456	none	True	0	0	1877	1	0.0
11	AUDIO	558	none	True	1	1	26735	1	0.0
12	AUDIO	548	none	True	1	1	6056	1	0.0
13	AUDIO	450	none	True	0	0	10874	1	0.0
14	AUDIO	452	none	True	0	0	1515	1	0.0
15	AUDIO	539	none	True	1	1	1933	1	0.0
16	AUDIO	531	none	True	1	1	2085	1	0.0
17	AUDIO	463	none	True	0	0	5547	1	0.0
18	AUDIO	525	none	False	1	0	1317	1	0.0
19	AUDIO	482	none	True	0	0	1162	1	0.0
20	AUDIO	490	none	True	0	0	1080	1	0.0
21	AUDIO	467	none	True	0	0	982	1	0.0
22	AUDIO	542	none	True	1	1	2514	1	0.0
23	AUDIO	473	none	True	0	0	1085	1	0.0
24	AUDIO	536	none	True	1	1	7814	1	0.0
25	AUDIO	533	none	False	1	0	3027	1	0.0
26	AUDIO	480	none	True	0	0	1023	1	0.0
27	AUDIO	543	none	True	1	1	1121	1	0.0
28	AUDIO	489	none	True	0	0	1249	1	0.0
29	AUDIO	540	none	True	1	1	1023	1	0.0
30	AUDIO	482	none	True	0	0	1280	1	0.0
31	AUDIO	500	none	False	1	0	984	1	0.0
32	AUDIO	537	none	False	1	0	1123	1	0.0
33	AUDIO	486	none	True	0	0	934	1	0.0
34	AUDIO	500	none	False	1	0	1188	1	0.0
35	AUDIO	546	none	True	1	1	1078	1	0.0
36	AUDIO	491	none	True	0	0	1318	1	0.0
37	AUDIO	543	none	True	1	1	1407	1	0.0
38	AUDIO	540	none	True	1	1	5666	1	0.0
39	AUDIO	540	none	True	1	1	9182	1	0.0
40	AUDIO	537	none	False	1	0	3154	1	0.0
41	AUDIO	540	none	True	1	1	939	1	0.0
42	AUDIO	489	none	True	0	0	1968	1	0.0
43	AUDIO	479	none	True	0	0	3461	1	0.0
44	AUDIO	540	none	False	1	0	993	1	0.0
45	AUDIO	545	none	True	1	1	926	1	0.0
46	AUDIO	499	none	False	0	1	2285	1	0.0
47	AUDIO	498	none	True	0	0	955	1	0.0
