id	label	lat	confl	res	cor_ans	user_ans	elapsed	rep	confl_magn
0	AUDIO	425	none	true	0	0	8402	1	0.0
1	AUDIO	475	none	true	0	0	1925	1	0.0
2	AUDIO	375	none	true	0	0	1067	1	0.0
3	AUDIO	625	none	true	1	1	1027	1	0.0
4	AUDIO	675	none	true	1	1	980	1	0.0
5	AUDIO	725	none	true	1	1	957	1	0.0
6	AUDIO	425	none	true	0	0	944	1	0.0
7	AUDIO	275	none	true	0	0	3191	1	0.0
8	AUDIO	375	none	true	0	0	989	1	0.0
9	AUDIO	725	none	true	1	1	1095	1	0.0
10	AUDIO	475	none	true	0	0	1070	1	0.0
11	AUDIO	325	none	true	0	0	1019	1	0.0
12	AUDIO	275	none	true	0	0	935	1	0.0
13	AUDIO	575	none	true	1	1	1626	1	0.0
14	AUDIO	625	none	true	1	1	971	1	0.0
15	AUDIO	525	none	false	1	0	1620	1	0.0
16	AUDIO	525	none	true	1	1	2247	1	0.0
17	AUDIO	575	none	true	1	1	1146	1	0.0
18	AUDIO	675	none	true	1	1	1066	1	0.0
19	AUDIO	325	none	true	0	0	1080	1	0.0
20	AUDIO	575	none	true	1	1	1106	1	0.0
21	AUDIO	625	none	true	1	1	1025	1	0.0
22	AUDIO	475	none	false	0	1	2407	1	0.0
23	AUDIO	375	none	true	0	0	1072	1	0.0
24	AUDIO	725	none	true	1	1	1248	1	0.0
25	AUDIO	275	none	true	0	0	1158	1	0.0
26	AUDIO	675	none	true	1	1	1064	1	0.0
27	AUDIO	275	none	true	0	0	1074	1	0.0
28	AUDIO	375	none	true	0	0	970	1	0.0
29	AUDIO	725	none	true	1	1	1041	1	0.0
30	AUDIO	425	none	true	0	0	1061	1	0.0
31	AUDIO	675	none	true	1	1	1073	1	0.0
32	AUDIO	575	none	true	1	1	1057	1	0.0
33	AUDIO	325	none	true	0	0	1038	1	0.0
34	AUDIO	475	none	true	0	0	1033	1	0.0
35	AUDIO	525	none	true	1	1	1098	1	0.0
36	AUDIO	525	none	false	1	0	2028	1	0.0
37	AUDIO	325	none	true	0	0	1025	1	0.0
38	AUDIO	625	none	true	1	1	985	1	0.0
39	AUDIO	425	none	true	0	0	1257	1	0.0
40	AUDIO	625	none	true	1	1	1037	1	0.0
41	AUDIO	475	none	true	0	0	1711	1	0.0
42	AUDIO	275	none	true	0	0	982	1	0.0
43	AUDIO	325	none	true	0	0	983	1	0.0
44	AUDIO	375	none	true	0	0	958	1	0.0
45	AUDIO	375	none	true	0	0	930	1	0.0
46	AUDIO	425	none	true	0	0	3084	1	0.0
47	AUDIO	625	none	true	1	1	1131	1	0.0
48	AUDIO	475	none	false	0	1	1507	1	0.0
49	AUDIO	525	none	true	1	1	1570	1	0.0
50	AUDIO	575	none	true	1	1	962	1	0.0
51	AUDIO	675	none	true	1	1	1005	1	0.0
52	AUDIO	675	none	true	1	1	2075	1	0.0
53	AUDIO	325	none	true	0	0	1261	1	0.0
54	AUDIO	525	none	true	1	1	2967	1	0.0
55	AUDIO	575	none	true	1	1	1307	1	0.0
56	AUDIO	725	none	true	1	1	1031	1	0.0
57	AUDIO	725	none	true	1	1	1018	1	0.0
58	AUDIO	275	none	true	0	0	1065	1	0.0
