id	label	lat	confl	res	cor_ans	user_ans	elapsed	rep	confl_magn
0	VISUAL	344	none	True	0	0	1544	1	0.0
1	VISUAL	668	none	True	1	1	1961	1	0.0
2	VISUAL	355	none	True	0	0	1742	1	0.0
3	VISUAL	637	none	True	1	1	1611	1	0.0
4	VISUAL	611	none	True	1	1	1122	1	0.0
5	VISUAL	590	none	True	1	1	1357	1	0.0
6	VISUAL	399	none	True	0	0	1456	1	0.0
7	VISUAL	412	none	True	0	0	1318	1	0.0
8	VISUAL	424	none	True	0	0	1001	1	0.0
9	VISUAL	573	none	True	1	1	1399	1	0.0
10	VISUAL	558	none	False	1	0	942	1	0.0
11	VISUAL	454	none	True	0	0	1075	1	0.0
12	VISUAL	462	none	True	0	0	2005	1	0.0
13	VISUAL	487	none	False	0	1	1754	1	0.0
14	VISUAL	431	none	True	0	0	1232	1	0.0
15	VISUAL	593	none	True	1	1	3671	1	0.0
16	VISUAL	581	none	True	1	1	1294	1	0.0
17	VISUAL	457	none	True	0	0	1025	1	0.0
18	VISUAL	575	none	True	1	1	3457	1	0.0
19	VISUAL	569	none	False	1	0	1026	1	0.0
20	VISUAL	582	none	True	1	1	1144	1	0.0
21	VISUAL	576	none	True	1	1	1533	1	0.0
22	VISUAL	462	none	False	0	1	1163	1	0.0
23	VISUAL	348	none	True	0	0	1098	1	0.0
24	VISUAL	379	none	True	0	0	4052	1	0.0
25	VISUAL	575	none	True	1	1	1109	1	0.0
26	VISUAL	572	none	True	1	1	1601	1	0.0
27	VISUAL	366	none	True	0	0	33167	1	0.0
28	VISUAL	572	none	True	1	1	1114	1	0.0
29	VISUAL	382	none	True	0	0	1009	1	0.0
30	VISUAL	567	none	True	1	1	2563	1	0.0
31	VISUAL	399	none	True	0	0	4962	1	0.0
32	VISUAL	458	none	False	0	1	1662	1	0.0
33	VISUAL	567	none	True	1	1	943	1	0.0
34	VISUAL	566	none	True	1	1	2619	1	0.0
35	VISUAL	417	none	False	0	1	1109	1	0.0
36	VISUAL	384	none	True	0	0	1647	1	0.0
37	VISUAL	394	none	True	0	0	1093	1	0.0
38	VISUAL	563	none	True	1	1	1878	1	0.0
39	VISUAL	557	none	True	1	1	1179	1	0.0
40	VISUAL	554	none	False	1	0	60344	1	0.0
41	VISUAL	568	none	True	1	1	24741	1	0.0
42	VISUAL	542	none	True	1	1	3032	1	0.0
43	VISUAL	374	none	False	0	1	1480	1	0.0
44	VISUAL	348	none	True	0	0	7709	1	0.0
45	VISUAL	367	none	True	0	0	2073	1	0.0
46	VISUAL	536	none	True	1	1	52445	1	0.0
47	VISUAL	351	none	True	0	0	2066	1	0.0
48	VISUAL	530	none	True	1	1	2849	1	0.0
49	VISUAL	374	none	True	0	0	5207	1	0.0
50	VISUAL	353	none	True	0	0	1258	1	0.0
51	VISUAL	525	none	True	1	1	4310	1	0.0
52	VISUAL	365	none	True	0	0	2024	1	0.0
53	VISUAL	521	none	True	1	1	962	1	0.0
54	VISUAL	518	none	False	1	0	3320	1	0.0
55	VISUAL	535	none	True	1	1	964	1	0.0
56	VISUAL	357	none	True	0	0	1236	1	0.0
57	VISUAL	512	none	True	1	1	902	1	0.0
58	VISUAL	361	none	True	0	0	1292	1	0.0
59	VISUAL	362	none	True	0	0	997	1	0.0
60	VISUAL	368	none	True	0	0	1259	1	0.0
61	VISUAL	510	none	True	1	1	36747	1	0.0
62	VISUAL	388	none	True	0	0	1430	1	0.0
63	VISUAL	509	none	False	1	0	7078	1	0.0
64	VISUAL	515	none	True	1	1	1074	1	0.0
65	VISUAL	391	none	True	0	0	973	1	0.0
66	VISUAL	513	none	True	1	1	8432	1	0.0
67	VISUAL	512	none	True	1	1	1873	1	0.0
68	VISUAL	381	none	False	0	1	6573	1	0.0
69	VISUAL	369	none	True	0	0	1229	1	0.0
70	VISUAL	376	none	True	0	0	1168	1	0.0
71	VISUAL	373	none	True	0	0	9039	1	0.0
72	VISUAL	512	none	False	1	0	1245	1	0.0
73	VISUAL	388	none	True	0	0	2678	1	0.0
74	VISUAL	516	none	True	1	1	2499	1	0.0
75	VISUAL	516	none	True	1	1	918	1	0.0
76	VISUAL	393	none	True	0	0	1183	1	0.0
77	VISUAL	515	none	True	1	1	62888	1	0.0
78	VISUAL	513	none	True	1	1	1058	1	0.0
79	VISUAL	377	none	True	0	0	930	1	0.0
80	VISUAL	510	none	True	1	1	1015	1	0.0
81	VISUAL	510	none	True	1	1	1783	1	0.0
82	VISUAL	384	none	True	0	0	103863	1	0.0
83	VISUAL	398	none	True	0	0	938	1	0.0
84	VISUAL	510	none	True	1	1	1156	1	0.0
85	VISUAL	382	none	True	0	0	1571	1	0.0
86	VISUAL	510	none	False	1	0	1560	1	0.0
87	VISUAL	397	none	True	0	0	5292	1	0.0
88	VISUAL	412	none	True	0	0	939	1	0.0
89	VISUAL	513	none	True	1	1	1458	1	0.0
90	VISUAL	421	none	True	0	0	1131	1	0.0
91	VISUAL	416	none	True	0	0	1065	1	0.0
92	VISUAL	513	none	True	1	1	1010	1	0.0
93	VISUAL	510	none	True	1	1	1029	1	0.0
94	VISUAL	510	none	True	1	1	1082	1	0.0
95	VISUAL	509	none	True	1	1	23082	1	0.0
96	VISUAL	409	none	True	0	0	965	1	0.0
97	VISUAL	413	none	True	0	0	1794	1	0.0
98	VISUAL	509	none	True	1	1	2602	1	0.0
99	VISUAL	429	none	True	0	0	1029	1	0.0
100	VISUAL	507	none	False	1	0	1121	1	0.0
101	VISUAL	424	none	True	0	0	986	1	0.0
102	VISUAL	510	none	False	1	0	945	1	0.0
103	VISUAL	515	none	True	1	1	1035	1	0.0
104	VISUAL	429	none	True	0	0	966	1	0.0
105	VISUAL	449	none	False	0	1	1859	1	0.0
106	VISUAL	441	none	False	0	1	1059	1	0.0
107	VISUAL	513	none	True	1	1	1833	1	0.0
108	VISUAL	423	none	False	0	1	1073	1	0.0
109	VISUAL	512	none	True	1	1	1169	1	0.0
110	VISUAL	418	none	False	0	1	1097	1	0.0
111	VISUAL	398	none	True	0	0	1449	1	0.0
112	VISUAL	512	none	True	1	1	1044	1	0.0
113	VISUAL	512	none	False	1	0	1267	1	0.0
114	VISUAL	515	none	True	1	1	1263	1	0.0
115	VISUAL	410	none	False	0	1	1116	1	0.0
116	VISUAL	386	none	True	0	0	1230	1	0.0
117	VISUAL	513	none	True	1	1	1190	1	0.0
118	VISUAL	388	none	True	0	0	1395	1	0.0
119	VISUAL	510	none	True	1	1	1037	1	0.0
120	VISUAL	510	none	True	1	1	1454	1	0.0
121	VISUAL	510	none	False	1	0	1227	1	0.0
122	VISUAL	513	none	True	1	1	1032	1	0.0
123	VISUAL	401	none	False	0	1	1126	1	0.0
124	VISUAL	392	none	True	0	0	1243	1	0.0
125	VISUAL	401	none	True	0	0	943	1	0.0
126	VISUAL	411	none	True	0	0	1251	1	0.0
127	VISUAL	510	none	True	1	1	1338	1	0.0
128	VISUAL	401	none	True	0	0	981	1	0.0
129	VISUAL	510	none	True	1	1	1238	1	0.0
130	VISUAL	412	none	True	0	0	1111	1	0.0
131	VISUAL	515	none	True	1	1	1126	1	0.0
132	VISUAL	510	none	False	1	0	1174	1	0.0
133	VISUAL	513	none	False	1	0	2038	1	0.0
134	VISUAL	518	none	True	1	1	2344	1	0.0
135	VISUAL	430	none	False	0	1	1534	1	0.0
136	VISUAL	405	none	True	0	0	1759	1	0.0
137	VISUAL	518	none	True	1	1	2040	1	0.0
138	VISUAL	409	none	True	0	0	972	1	0.0
139	VISUAL	408	none	True	0	0	1022	1	0.0
140	VISUAL	516	none	True	1	1	1082	1	0.0
141	VISUAL	516	none	True	1	1	1297	1	0.0
142	VISUAL	512	none	False	1	0	989	1	0.0
143	VISUAL	436	none	False	0	1	5861	1	0.0
144	VISUAL	407	none	True	0	0	1054	1	0.0
145	VISUAL	515	none	True	1	1	3323	1	0.0
146	VISUAL	512	none	True	1	1	2906	1	0.0
147	VISUAL	392	none	False	0	1	1089	1	0.0
148	VISUAL	377	none	True	0	0	989	1	0.0
149	VISUAL	408	none	True	0	0	1080	1	0.0
150	VISUAL	426	none	True	0	0	2395	1	0.0
151	VISUAL	423	none	True	0	0	1031	1	0.0
152	VISUAL	510	none	True	1	1	4978	1	0.0
153	VISUAL	426	none	True	0	0	981	1	0.0
154	VISUAL	516	none	True	1	1	2546	1	0.0
155	VISUAL	510	none	True	1	1	3161	1	0.0
156	VISUAL	436	none	True	0	0	1657	1	0.0
157	VISUAL	510	none	True	1	1	1010	1	0.0
158	VISUAL	428	none	True	0	0	934	1	0.0
159	VISUAL	510	none	False	1	0	1027	1	0.0
160	VISUAL	439	none	True	0	0	953	1	0.0
161	VISUAL	428	none	False	0	1	1449	1	0.0
162	VISUAL	510	none	True	1	1	2433	1	0.0
163	VISUAL	516	none	True	1	1	1683	1	0.0
164	VISUAL	438	none	True	0	0	2768	1	0.0
165	VISUAL	429	none	True	0	0	2922	1	0.0
