id	label	lat	confl	res	cor_ans	user_ans	elapsed	rep	confl_magn
0	VISUAL	425	none	true	0	0	18828	1	0.0
1	VISUAL	625	none	true	1	1	1795	1	0.0
2	VISUAL	725	none	true	1	1	1485	1	0.0
3	VISUAL	425	none	false	0	1	15681	1	0.0
4	VISUAL	575	none	true	1	1	1405	1	0.0
5	VISUAL	275	none	true	0	0	2329	1	0.0
6	VISUAL	525	none	true	1	1	1532	1	0.0
7	VISUAL	675	none	true	1	1	1389	1	0.0
8	VISUAL	325	none	true	0	0	1583	1	0.0
9	VISUAL	325	none	true	0	0	1368	1	0.0
10	VISUAL	375	none	true	0	0	1424	1	0.0
11	VISUAL	475	none	true	0	0	1687	1	0.0
12	VISUAL	675	none	true	1	1	1600	1	0.0
13	VISUAL	275	none	true	0	0	1162	1	0.0
14	VISUAL	725	none	true	1	1	1151	1	0.0
15	VISUAL	475	none	true	0	0	1196	1	0.0
16	VISUAL	375	none	true	0	0	1088	1	0.0
17	VISUAL	525	none	false	1	0	1214	1	0.0
18	VISUAL	575	none	false	1	0	6082	1	0.0
19	VISUAL	625	none	true	1	1	2084	1	0.0
20	VISUAL	425	none	true	0	0	1251	1	0.0
21	VISUAL	725	none	true	1	1	1491	1	0.0
22	VISUAL	375	none	true	0	0	1276	1	0.0
23	VISUAL	325	none	true	0	0	1268	1	0.0
24	VISUAL	325	none	true	0	0	1430	1	0.0
25	VISUAL	375	none	true	0	0	1414	1	0.0
26	VISUAL	425	none	true	0	0	1150	1	0.0
27	VISUAL	475	none	true	0	0	1240	1	0.0
28	VISUAL	525	none	false	1	0	1238	1	0.0
29	VISUAL	525	none	true	1	1	1325	1	0.0
30	VISUAL	675	none	true	1	1	1549	1	0.0
31	VISUAL	575	none	false	1	0	7258	1	0.0
32	VISUAL	275	none	true	0	0	1336	1	0.0
33	VISUAL	675	none	true	1	1	1404	1	0.0
34	VISUAL	725	none	true	1	1	1252	1	0.0
35	VISUAL	475	none	true	0	0	1228	1	0.0
36	VISUAL	575	none	true	1	1	3101	1	0.0
37	VISUAL	275	none	true	0	0	1218	1	0.0
38	VISUAL	625	none	true	1	1	1350	1	0.0
39	VISUAL	625	none	true	1	1	1164	1	0.0
40	VISUAL	625	none	true	1	1	1369	1	0.0
41	VISUAL	475	none	false	0	1	1276	1	0.0
42	VISUAL	675	none	true	1	1	1103	1	0.0
43	VISUAL	575	none	true	1	1	1230	1	0.0
44	VISUAL	375	none	true	0	0	1224	1	0.0
45	VISUAL	525	none	false	1	0	1197	1	0.0
46	VISUAL	525	none	true	1	1	1124	1	0.0
47	VISUAL	625	none	true	1	1	1143	1	0.0
48	VISUAL	275	none	true	0	0	1236	1	0.0
49	VISUAL	475	none	true	0	0	1245	1	0.0
50	VISUAL	575	none	true	1	1	1177	1	0.0
51	VISUAL	425	none	false	0	1	1488	1	0.0
52	VISUAL	725	none	true	1	1	1187	1	0.0
53	VISUAL	325	none	true	0	0	1080	1	0.0
54	VISUAL	675	none	true	1	1	1056	1	0.0
55	VISUAL	375	none	true	0	0	1811	1	0.0
56	VISUAL	425	none	true	0	0	1047	1	0.0
57	VISUAL	325	none	true	0	0	1165	1	0.0
58	VISUAL	275	none	true	0	0	1179	1	0.0
59	VISUAL	725	none	true	1	1	1836	1	0.0
60	VISUAL	475	none	false	0	1	1076	1	0.0
61	VISUAL	375	none	true	0	0	1069	1	0.0
62	VISUAL	625	none	false	1	0	1534	1	0.0
63	VISUAL	325	none	true	0	0	1220	1	0.0
64	VISUAL	375	none	true	0	0	1238	1	0.0
65	VISUAL	425	none	true	0	0	1152	1	0.0
66	VISUAL	275	none	true	0	0	1223	1	0.0
67	VISUAL	525	none	true	1	1	1281	1	0.0
68	VISUAL	475	none	false	0	1	1234	1	0.0
69	VISUAL	325	none	true	0	0	2198	1	0.0
70	VISUAL	675	none	true	1	1	1068	1	0.0
71	VISUAL	575	none	true	1	1	1137	1	0.0
72	VISUAL	525	none	true	1	1	1024	1	0.0
73	VISUAL	725	none	true	1	1	1210	1	0.0
74	VISUAL	725	none	true	1	1	1107	1	0.0
75	VISUAL	275	none	true	0	0	1225	1	0.0
76	VISUAL	425	none	true	0	0	14089	1	0.0
77	VISUAL	575	none	true	1	1	1442	1	0.0
78	VISUAL	675	none	true	1	1	1242	1	0.0
79	VISUAL	625	none	true	1	1	1187	1	0.0
80	VISUAL	525	none	false	1	0	1173	1	0.0
81	VISUAL	575	none	true	1	1	1097	1	0.0
82	VISUAL	725	none	true	1	1	1071	1	0.0
83	VISUAL	625	none	true	1	1	1082	1	0.0
84	VISUAL	475	none	true	0	0	1136	1	0.0
85	VISUAL	575	none	false	1	0	1333	1	0.0
86	VISUAL	675	none	true	1	1	4057	1	0.0
87	VISUAL	375	none	true	0	0	1637	1	0.0
88	VISUAL	375	none	true	0	0	8075	1	0.0
89	VISUAL	425	none	true	0	0	5888	1	0.0
90	VISUAL	275	none	true	0	0	1333	1	0.0
91	VISUAL	675	none	true	1	1	1654	1	0.0
92	VISUAL	475	none	false	0	1	1375	1	0.0
93	VISUAL	425	none	true	0	0	1227	1	0.0
94	VISUAL	275	none	true	0	0	1086	1	0.0
95	VISUAL	325	none	true	0	0	1089	1	0.0
96	VISUAL	725	none	true	1	1	1116	1	0.0
97	VISUAL	625	none	true	1	1	1056	1	0.0
98	VISUAL	525	none	true	1	1	1188	1	0.0
99	VISUAL	325	none	true	0	0	1081	1	0.0
100	VISUAL	625	none	true	1	1	1005	1	0.0
101	VISUAL	275	none	true	0	0	1125	1	0.0
102	VISUAL	525	none	true	1	1	1778	1	0.0
103	VISUAL	725	none	true	1	1	1178	1	0.0
104	VISUAL	625	none	true	1	1	1084	1	0.0
105	VISUAL	325	none	true	0	0	1213	1	0.0
106	VISUAL	475	none	true	0	0	1489	1	0.0
107	VISUAL	375	none	true	0	0	1303	1	0.0
108	VISUAL	725	none	true	1	1	1045	1	0.0
109	VISUAL	675	none	true	1	1	1068	1	0.0
110	VISUAL	425	none	false	0	1	1473	1	0.0
111	VISUAL	575	none	true	1	1	1531	1	0.0
112	VISUAL	675	none	true	1	1	1467	1	0.0
113	VISUAL	375	none	true	0	0	1070	1	0.0
