id	label	lat	confl	res	cor_ans	user_ans	elapsed	rep	confl_magn
0	VISUAL	319	none	True	0	0	3583	1	0.0
1	VISUAL	668	none	True	1	1	1236	1	0.0
2	VISUAL	361	none	True	0	0	1224	1	0.0
3	VISUAL	399	none	True	0	0	1717	1	0.0
4	VISUAL	399	none	True	0	0	1482	1	0.0
5	VISUAL	637	none	True	1	1	1325	1	0.0
6	VISUAL	611	none	True	1	1	1096	1	0.0
7	VISUAL	414	none	True	0	0	2123	1	0.0
8	VISUAL	590	none	True	1	1	1289	1	0.0
9	VISUAL	573	none	True	1	1	1071	1	0.0
10	VISUAL	558	none	True	1	1	1119	1	0.0
11	VISUAL	548	none	True	1	1	1095	1	0.0
12	VISUAL	437	none	True	0	0	1219	1	0.0
13	VISUAL	451	none	True	0	0	1538	1	0.0
14	VISUAL	455	none	True	0	0	1180	1	0.0
15	VISUAL	466	none	True	0	0	1501	1	0.0
16	VISUAL	539	none	True	1	1	1373	1	0.0
17	VISUAL	486	none	True	0	0	3405	1	0.0
18	VISUAL	531	none	True	1	1	965	1	0.0
19	VISUAL	525	none	False	1	0	1164	1	0.0
20	VISUAL	542	none	True	1	1	1109	1	0.0
21	VISUAL	471	none	True	0	0	1139	1	0.0
22	VISUAL	480	none	False	0	1	1227	1	0.0
23	VISUAL	536	none	True	1	1	2072	1	0.0
24	VISUAL	533	none	True	1	1	1358	1	0.0
25	VISUAL	464	none	False	0	1	1202	1	0.0
26	VISUAL	530	none	True	1	1	1140	1	0.0
27	VISUAL	454	none	False	0	1	2580	1	0.0
28	VISUAL	528	none	False	1	0	1597	1	0.0
29	VISUAL	415	none	True	0	0	1522	1	0.0
30	VISUAL	534	none	True	1	1	1148	1	0.0
31	VISUAL	424	none	False	0	1	1060	1	0.0
32	VISUAL	533	none	True	1	1	1241	1	0.0
33	VISUAL	406	none	True	0	0	1079	1	0.0
34	VISUAL	531	none	True	1	1	1662	1	0.0
35	VISUAL	531	none	True	1	1	2078	1	0.0
36	VISUAL	530	none	True	1	1	1914	1	0.0
37	VISUAL	412	none	True	0	0	1235	1	0.0
38	VISUAL	418	none	False	0	1	1956	1	0.0
39	VISUAL	410	none	True	0	0	5142	1	0.0
40	VISUAL	527	none	True	1	1	11206	1	0.0
41	VISUAL	527	none	False	1	0	1934	1	0.0
42	VISUAL	530	none	True	1	1	2420	1	0.0
43	VISUAL	530	none	True	1	1	4139	1	0.0
44	VISUAL	395	none	True	0	0	3040	1	0.0
45	VISUAL	401	none	True	0	0	9045	1	0.0
